,fname,dialogue
5,train_5,"#Person1#: 생일 축하해, 에임즈!
#Person2#: 고마워, 리사.
#Person1#: 이건 너를 위한 선물이야. 마음에 들었으면 좋겠어.
#Person2#: 오, 대박! 정말 좋아! 내가 이걸 오랫동안 기다렸다는 걸 너도 알잖아.
#Person1#: 그렇게 말해줘서 정말 기뻐.
#Person2#: 여기 와봐 ; 너에게 몇몇 친구들을 소개하고 싶어."
6,train_6,"#Person1#: 여기 도착했습니다.
#Person2#: 감사합니다. 요금은 얼마인가요?
#Person1#: 10달러입니다.
#Person2#: 어떻게 그럴 수 있죠?
#Person1#: 첫 2킬로미터는 2달러이고, 그 이후 200미터마다 20센트가 추가됩니다.
#Person2#: 알겠습니다. 운전해주셔서 감사합니다."
13,train_13,"#Person1#: 키이스는 몇 살인가요?
#Person2#: 그는 21살입니다. 제임스는 몇 살인가요?
#Person1#: 그는 키이스보다 한 살 많지만, 보기에는 더 어려 보이네요.
#Person2#: 당신의 아버지는 어떻게 지내시나요?
#Person1#: 그는 괜찮아요. 지난 주에 은퇴했어요. 그의 삶이 바뀌고 있어요. 이제 그는 편안하게 은퇴 생활을 즐길 수 있어요.
#Person2#: 그는 손주들과 더 많은 시간을 보낼 수 있겠네요.
#Person1#: 오, 그럴 것 같지 않아요. 그는 세계 여러 나라를 여행하고 싶어해요.
#Person2#: 그러니까, 그는 더 활동적인 은퇴 생활을 원하는 거군요. 좋은 생각이네요!
#Person1#: 당신은 노년을 어떻게 보내고 싶나요?
#Person2#: 아마도 같은 방식으로 보내고 싶을 것 같아요."
15,train_15,"#Person1#: 그의 말에 혼란스러워요.
#Person2#: 왜 그렇게 말하나요?
#Person1#: 그가 무엇을 하고 싶은지 모르겠어요. 그는 저를 도와주려는 건지, 아니면 그냥 저를 꾸짖으려는 건지?
#Person2#: 조금만 생각해보세요. 저는 그가 마음속 깊은 곳에서는 좋은 의도를 가지고 있다고 생각해요. "
19,train_19,"#Person1#: 그럼 우리와 함께 일하러 올 건가요?
#Person2#: 제 녹색 패드를 다시 사용해서 당신에게 감탄하는 메모를 쓸 수 있을까요?
#Person1#: 그건 협상을 해봐야겠네요. 가능성은 있어요.
#Person2#: 당신도 저를 그리워하고 있죠?
#Person1#: 운을 너무 믿지 마세요, 데이브.
#Person2#: 알겠어요, 저도 할게요. 언제 시작하나요?
#Person1#: 가능한 한 빨리 여기로 오세요. 우리는 당신을 기다리고 있을 거에요."
22,train_22,"#Person1#: 제가 들었는데, 여러분들이 아주 좋은 서비스를 제공한다고 해서 이사할 때 필요한 이사업체로 먼저 연락했습니다.
#Person2#: 저희에게 연락해주셔서 감사합니다. 어떤 일을 저희에게 부탁하실지 좀 더 자세히 말씀해주실 수 있을까요?
#Person1#: 아, 저희는 8층에 있고, 다른 건물의 6층으로 이사를 가려고 합니다. 거기까지는 대략 15킬로미터 정도입니다.
#Person2#: 알겠습니다, 비용은 이사할 층수, 두 장소 사이의 거리, 그리고 이동할 가구의 양에 따라 달라집니다.
#Person1#: 그럼 그 경우에 비용이 얼마나 들까요?
#Person2#: 아, 잠시만요. 이것은 두 번째 표준 요금에 해당합니다. 계약서를 한번 보시겠어요?
#Person1#:  요금은 선불금과 나머지로 나뉘어져 있네요. 저는 이사하기 전에 전부 내야 한다고 생각했어요.
#Person2#: 아니요, 먼저 계약서를 작성하고 ; 비용의 50%를 지불하시고, 나머지는 이사가 끝난 후에 지불하시면 됩니다.
#Person1#: 손상 및 보상 항목이 헷갈리네요. 설명 좀 해주실 수 있을까요?
#Person2#: 알겠습니다. 이사 중에 물품이 손상되었다면, 저희 부서에 보상 청구를 할 수 있습니다."
23,train_23,"#Person1#: 안녕, 마이크. 오랜만이네. 캐시는 어때?
#Person2#: 우리 더 이상 만나지 않아.
#Person1#: 무슨 일이 있었어? 헤어졌어?
#Person2#: 그래. 그녀의 끊임없는 잔소리에 지쳤어.
#Person1#: 오, 미안해. 아마 그 순간에 감정적이었을 수도 있어. 너희들 다시 만날 수 있을까?
#Person2#: 모르겠어. 바다에는 물고기가 많으니까!
#Person1#: 오, 넌 정말 개 같아!"
31,train_31,"#Person1#: 무엇 도와드릴까요?
#Person2#: 가죽 재킷을 사고 싶어요.
#Person1#: 어떤 사이즈를 원하세요?
#Person2#: 40 사이즈요.
#Person1#: 어떤 색상을 선호하시나요?
#Person2#: 잠시만요. 갈색은 어떨까요?
#Person1#: 음, 갈색 재킷은 정말 아름답지만, 제 생각에 당신에게는 검정색이 더 잘 어울릴 것 같아요.
#Person2#: 정말요? 그럼 그걸로 주세요.
#Person1#: 다른 것은 필요 없으신가요?
#Person2#: 이 드레스는 순수 실크인가요?
#Person1#: 네, 맞아요. 정말 훌륭해요.
#Person2#: 세탁이 가능한가요?
#Person1#: 네, 가능해요. 하지만 조심스럽게 다뤄야 해요.
#Person2#: 얼마인가요?
#Person1#: 단지 350 위안이에요.
#Person2#: 좋아요. 포장해 주시겠어요?
#Person1#: 네, 여기 있습니다."
41,train_41,"#Person1#: 안녕하세요, 올리비아씨 계신가요?
#Person2#: 죄송합니다. 그녀는 점심을 먹으러 나갔습니다. 메시지를 남기시겠습니까?
#Person1#: 네. 헤리스입니다. 올리비아에게 제가 영화관 매표소에서 7시 10분에 기다리고 있을 거라고 전해주실 수 있나요?
#Person2#: 알겠습니다, 헤리스님. 10시에 매표소에서 그녀를 기다리실 거군요.
#Person1#: 아니요, 7시 10분에요.
#Person2#: 아, 죄송합니다, 7시 10분에요. 올리비아에게 전해드리겠습니다.
#Person1#: 감사합니다."
42,train_42,"#Person1#: 안녕하세요, 이곳이 스미스 박사님의 사무실인가요?
#Person2#: 네, 맞습니다. 무엇을 도와드릴까요?
#Person1#: 네, 스미스 박사님과 통화하고 싶은데요?
#Person2#: 스미스 박사님은 오후에 집으로 가셨습니다. 전화하신 분이 누구신지 여쭤봐도 될까요?
#Person1#: 제 이름은 짐 화이트입니다.
#Person2#: 아, 화이트 씨. 스미스 박사님께서 집 전화번호를 알려드리라고 하셨습니다.
#Person1#: 잠시만요. 네, 그 번호가 어떻게 되나요?
#Person2#: 그의 번호는 #PhoneNumber#입니다.
#Person1#: 정말 감사합니다.
#Person2#: 괜찮습니다."
